env_step,eval_success_rate,eval_return,eval_successes,eval_episodes,eval_success_ci_low,eval_success_ci_high,human_steps,budget_used_frac,engagements,demo_size,online_size,voi_candidate_rate,voi_score_mean,voi_p_fail_mean,bc_reg_loss_mean
0,0.1500,22.6572,3,20,0.0524,0.3604,0,0.0000,0,4000,0,nan,nan,nan,nan
2000,0.8000,140.5834,16,20,0.5840,0.9193,80,0.1333,4,4080,2000,0.0020,0.0355,0.0035,0.008080
4000,0.9000,150.6469,18,20,0.6990,0.9721,80,0.1333,4,4080,4000,0.0000,0.0000,0.0000,0.004116
6000,0.9500,157.4857,19,20,0.7639,0.9911,375,0.6250,20,4375,6000,0.0080,0.0179,0.0094,0.003049
8000,0.9500,140.3263,19,20,0.7639,0.9911,495,0.8250,26,4495,8000,0.0030,0.0108,0.0039,0.001856
10000,0.2500,39.9629,5,20,0.1119,0.4687,600,1.0000,32,4600,10000,0.0030,0.0190,0.0064,0.001164
