checkpoint,task,backend,repeat,seed,success_rate,return_mean,successes,episodes,success_ci_low,success_ci_high
results\r009_learning_value_seeds1_2\checkpoints\best_Lift_voi_b600_seed1_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv2p0_vclip1p0_restorebest1_pacelinear.zip,Lift,robosuite,0,601,0.8000,123.7388,16,20,0.5840,0.9193
results\r009_learning_value_seeds1_2\checkpoints\best_Lift_voi_b600_seed1_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv2p0_vclip1p0_restorebest1_pacelinear.zip,Lift,robosuite,1,602,0.7000,94.9785,14,20,0.4810,0.8545
results\r009_learning_value_seeds1_2\checkpoints\best_Lift_voi_b600_seed1_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv2p0_vclip1p0_restorebest1_pacelinear.zip,Lift,robosuite,2,603,0.7500,116.3841,15,20,0.5313,0.8881
