env_step,eval_success_rate,eval_return,eval_successes,eval_episodes,eval_success_ci_low,eval_success_ci_high,human_steps,budget_used_frac,engagements,demo_size,online_size,voi_candidate_rate,voi_score_mean,voi_p_fail_mean,bc_reg_loss_mean
0,0.5000,71.5313,10,20,0.2993,0.7007,0,0.0000,0,4000,0,nan,nan,nan,nan
2000,0.5500,78.5942,11,20,0.3421,0.7418,80,0.1333,4,4080,2000,0.0020,0.0355,0.0035,0.008608
4000,0.4000,69.6762,8,20,0.2188,0.6134,80,0.1333,4,4080,4000,0.0000,0.0000,0.0000,0.004254
6000,0.7000,122.1744,14,20,0.4810,0.8545,390,0.6500,20,4390,6000,0.0080,0.0146,0.0094,0.002870
8000,0.6000,100.4177,12,20,0.3866,0.7812,490,0.8167,25,4490,8000,0.0025,0.0110,0.0051,0.001774
10000,0.5000,81.9218,10,20,0.2993,0.7007,600,1.0000,31,4600,10000,0.0030,0.0075,0.0030,0.001173
