env_step,eval_success_rate,eval_return,eval_successes,eval_episodes,eval_success_ci_low,eval_success_ci_high,human_steps,budget_used_frac,engagements,demo_size,online_size,voi_candidate_rate,voi_score_mean,voi_p_fail_mean,bc_reg_loss_mean
0,0.2500,44.2948,5,20,0.1119,0.4687,0,0.0000,0,4000,0,nan,nan,nan,nan
2000,0.5500,96.1039,11,20,0.3421,0.7418,40,0.1333,2,4040,2000,0.0010,0.0178,0.0018,0.007853
4000,0.7000,107.0256,14,20,0.4810,0.8545,40,0.1333,2,4040,4000,0.0000,0.0000,0.0000,0.004037
6000,0.6000,97.5862,12,20,0.3866,0.7812,194,0.6467,10,4194,6000,0.0040,0.0084,0.0044,0.002660
8000,0.5000,80.8793,10,20,0.2993,0.7007,252,0.8400,13,4252,8000,0.0015,0.0250,0.0118,0.001554
10000,0.5500,68.9971,11,20,0.3421,0.7418,300,1.0000,16,4300,10000,0.0015,0.0023,0.0010,0.000895
