env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
10000,0.0000,1.7190,236,24,4236,10000
20000,0.0000,7.7462,384,39,4384,20000
30000,0.0000,31.6744,960,98,4960,30000
40000,0.5500,98.5864,1218,125,5218,40000
50000,0.7500,105.6653,1463,151,5463,50000
60000,0.1000,26.9026,1705,176,5705,60000
70000,0.1500,46.8970,1973,204,5973,70000
80000,0.1000,29.2783,2233,230,6233,80000
90000,0.1500,59.9563,2480,256,6480,90000
100000,0.4500,71.7151,2737,282,6737,100000
110000,0.0000,5.1069,2807,289,6807,110000
120000,0.5500,118.8153,3246,335,7246,120000
130000,0.2500,78.1778,3491,360,7491,130000
140000,0.5000,56.8959,3753,387,7753,140000
150000,0.2000,54.4225,3993,411,7993,150000
