env_step,eval_success_rate,eval_return,eval_successes,eval_episodes,eval_success_ci_low,eval_success_ci_high,human_steps,budget_used_frac,engagements,demo_size,online_size,voi_candidate_rate,voi_score_mean,voi_p_fail_mean,bc_reg_loss_mean
0,0.1000,23.7881,1,10,0.0179,0.4042,0,0.0000,0,4000,0,nan,nan,nan,nan
1000,0.8000,146.7224,8,10,0.4902,0.9433,160,0.1600,16,4160,1000,0.0160,0.3171,0.0365,0.012915
2000,0.7000,115.3368,7,10,0.3968,0.8922,160,0.1600,16,4160,2000,0.0000,-0.0500,0.0000,0.007472
3000,0.9000,136.3190,9,10,0.5958,0.9821,160,0.1600,16,4160,3000,0.0000,-0.0500,0.0000,0.005131
4000,0.9000,155.0138,9,10,0.5958,0.9821,160,0.1600,16,4160,4000,0.0000,-0.0500,0.0000,0.003741
5000,0.9000,156.8817,9,10,0.5958,0.9821,170,0.1700,17,4170,5000,0.0010,-0.0423,0.0075,0.002954
