env_step,eval_success_rate,eval_return,eval_successes,eval_episodes,eval_success_ci_low,eval_success_ci_high,human_steps,budget_used_frac,engagements,demo_size,online_size,voi_candidate_rate,voi_score_mean,voi_p_fail_mean,bc_reg_loss_mean
0,0.0000,6.0140,0,20,0.0000,0.1611,0,0.0000,0,4000,0,nan,nan,nan,nan
2000,0.9000,153.0883,18,20,0.6990,0.9721,80,0.1333,4,4080,2000,0.0020,0.0355,0.0035,0.008601
4000,0.8500,126.0795,17,20,0.6396,0.9476,80,0.1333,4,4080,4000,0.0000,0.0000,0.0000,0.004295
6000,0.6000,109.5726,12,20,0.3866,0.7812,372,0.6200,20,4372,6000,0.0080,0.0170,0.0063,0.002953
8000,0.9000,146.2764,18,20,0.6990,0.9721,492,0.8200,26,4492,8000,0.0030,0.0138,0.0050,0.001849
10000,0.9000,151.2273,18,20,0.6990,0.9721,600,1.0000,32,4600,10000,0.0030,0.0141,0.0050,0.001164
