env_step,eval_success_rate,eval_return,eval_successes,eval_episodes,eval_success_ci_low,eval_success_ci_high,human_steps,budget_used_frac,engagements,demo_size,online_size,voi_candidate_rate,voi_score_mean,voi_p_fail_mean
1000,0.0000,0.5079,0,5,0.0000,0.4345,150,0.1500,15,2150,1000,0.0150,0.2491,0.0298
2000,0.0000,0.2132,0,5,0.0000,0.4345,150,0.1500,15,2150,2000,0.0000,-0.0500,0.0000
3000,0.0000,0.2364,0,5,0.0000,0.4345,150,0.1500,15,2150,3000,0.0000,-0.0464,0.0034
4000,0.0000,0.1833,0,5,0.0000,0.4345,150,0.1500,15,2150,4000,0.0000,-0.0470,0.0029
5000,0.0000,0.7119,0,5,0.0000,0.4345,160,0.1600,16,2160,5000,0.0010,-0.0479,0.0020
