comparison,success_diff_pp,test,statistic,p_two_sided,interpretation
learning_value_voi_b600_scale3_vs_none_restore_best,10.0,episode_level_two_proportion_z,2.3476,0.0189,sanity check only; favors method but final paper should report seed-level variance as well
learning_value_voi_b600_scale3_vs_random_restore_best_b600,10.0,episode_level_two_proportion_z,2.3476,0.0189,sanity check only; favors method in aggregate despite random seed1 being perfect
