checkpoint,task,backend,repeat,seed,success_rate,return_mean,successes,episodes,success_ci_low,success_ci_high
results\r018_stack_matched_baselines_seeds0_2\checkpoints\best_Stack_random_b600_seed1_steps6000_demo50_ls500_bs256_gs1_bc10000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p0_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacelinear.zip,Stack,robosuite,0,777,0.7000,44.0743,14,20,0.4810,0.8545
results\r018_stack_matched_baselines_seeds0_2\checkpoints\best_Stack_random_b600_seed1_steps6000_demo50_ls500_bs256_gs1_bc10000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p0_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacelinear.zip,Stack,robosuite,1,778,0.5500,89.9593,11,20,0.3421,0.7418
results\r018_stack_matched_baselines_seeds0_2\checkpoints\best_Stack_random_b600_seed1_steps6000_demo50_ls500_bs256_gs1_bc10000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p0_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacelinear.zip,Stack,robosuite,2,779,0.8500,53.0086,17,20,0.6396,0.9476
