env_step,eval_success_rate,eval_return,eval_successes,eval_episodes,eval_success_ci_low,eval_success_ci_high,human_steps,budget_used_frac,engagements,demo_size,online_size,voi_candidate_rate,voi_score_mean,voi_p_fail_mean,bc_reg_loss_mean
0,0.6500,53.4957,13,20,0.4329,0.8188,0,0.0000,0,10000,0,nan,nan,nan,nan
2000,0.7000,40.1479,14,20,0.4810,0.8545,0,0.0000,0,10000,2000,nan,nan,nan,0.007063
4000,0.6000,62.8845,12,20,0.3866,0.7812,0,0.0000,0,10000,4000,nan,nan,nan,0.003800
6000,0.7500,69.2273,15,20,0.5313,0.8881,0,0.0000,0,10000,6000,nan,nan,nan,0.002378
