env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
3000,0.0000,0.1918,3000,300,7000,3000
6000,0.0000,0.0809,4000,400,8000,6000
9000,0.0000,1.7668,4000,400,8000,9000
12000,0.0000,3.4265,4000,400,8000,12000
15000,0.0000,1.2681,4000,400,8000,15000
18000,0.0000,4.9493,4000,400,8000,18000
21000,0.0000,6.3554,4000,400,8000,21000
24000,0.0000,10.1455,4000,400,8000,24000
27000,0.0000,18.1711,4000,400,8000,27000
30000,0.2000,52.8088,4000,400,8000,30000
