env_step,eval_success_rate,eval_return,eval_successes,eval_episodes,eval_success_ci_low,eval_success_ci_high,human_steps,budget_used_frac,engagements,demo_size,online_size,voi_candidate_rate,voi_score_mean,voi_p_fail_mean,bc_reg_loss_mean
0,0.0500,12.6517,1,20,0.0089,0.2361,0,0.0000,0,4000,0,nan,nan,nan,nan
2000,0.5500,106.3940,11,20,0.3421,0.7418,100,0.2857,5,4100,2000,nan,nan,nan,0.009352
4000,0.7000,109.1406,14,20,0.4810,0.8545,160,0.4571,8,4160,4000,nan,nan,nan,0.004939
6000,0.9000,126.2773,18,20,0.6990,0.9721,220,0.6286,11,4220,6000,nan,nan,nan,0.002908
8000,1.0000,172.5859,20,20,0.8389,1.0000,300,0.8571,15,4300,8000,nan,nan,nan,0.001914
10000,1.0000,152.7738,20,20,0.8389,1.0000,350,1.0000,18,4350,10000,nan,nan,nan,0.001230
