env_step,eval_success_rate,eval_return,eval_successes,eval_episodes,eval_success_ci_low,eval_success_ci_high,human_steps,budget_used_frac,engagements,demo_size,online_size,voi_candidate_rate,voi_score_mean,voi_p_fail_mean,bc_reg_loss_mean
0,0.0500,12.6441,1,20,0.0089,0.2361,0,0.0000,0,4000,0,nan,nan,nan,nan
2000,0.5000,78.4839,10,20,0.2993,0.7007,80,0.1333,4,4080,2000,0.0020,0.0355,0.0035,0.008655
4000,0.7500,119.3752,15,20,0.5313,0.8881,80,0.1333,4,4080,4000,0.0000,0.0000,0.0000,0.004207
6000,0.6500,110.2243,13,20,0.4329,0.8188,379,0.6317,19,4379,6000,0.0535,0.0186,0.0075,0.003060
8000,0.5000,51.5555,10,20,0.2993,0.7007,492,0.8200,26,4492,8000,0.0430,0.0113,0.0041,0.001809
10000,0.1500,31.7686,3,20,0.0524,0.3604,600,1.0000,32,4600,10000,0.0765,0.0104,0.0034,0.001236
