env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
5000,0.0000,0.1971,904,92,4904,5000
10000,0.0000,3.3057,904,92,4904,10000
15000,0.0000,1.4258,904,92,4904,15000
20000,0.0000,7.5590,904,92,4904,20000
25000,0.0000,3.9289,914,93,4914,25000
30000,0.0000,20.8732,944,96,4944,30000
