env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
10000,0.0000,3.1360,0,0,4000,10000
20000,0.0000,2.1469,0,0,4000,20000
30000,0.0500,34.4770,0,0,4000,30000
40000,0.1500,30.1446,0,0,4000,40000
50000,0.7500,92.6736,0,0,4000,50000
60000,0.2500,65.0841,0,0,4000,60000
70000,0.2000,60.3494,0,0,4000,70000
80000,0.5500,87.9630,0,0,4000,80000
90000,0.4000,91.9154,0,0,4000,90000
100000,0.0000,3.0132,0,0,4000,100000
110000,0.0000,6.0203,0,0,4000,110000
120000,0.5000,46.7558,0,0,4000,120000
130000,0.3000,57.6159,0,0,4000,130000
140000,0.0000,14.6285,0,0,4000,140000
150000,0.1000,38.2391,0,0,4000,150000
