env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
10000,0.0500,3.2884,0,0,4000,10000
20000,0.0000,3.0714,0,0,4000,20000
30000,0.0000,18.4951,0,0,4000,30000
40000,0.1500,50.7712,0,0,4000,40000
50000,0.4500,62.9963,0,0,4000,50000
60000,0.1500,60.6825,0,0,4000,60000
70000,0.2500,70.3092,0,0,4000,70000
80000,0.8000,100.8492,0,0,4000,80000
90000,0.7500,125.1408,0,0,4000,90000
100000,0.3500,77.3119,0,0,4000,100000
110000,0.8500,122.3788,0,0,4000,110000
120000,1.0000,151.5050,0,0,4000,120000
130000,0.6000,136.3966,0,0,4000,130000
140000,0.9000,163.0808,0,0,4000,140000
150000,0.6500,122.7275,0,0,4000,150000
