env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
10000,0.0000,1.5263,454,47,4454,10000
20000,0.0000,6.3199,714,75,4714,20000
30000,0.0000,15.3133,960,100,4960,30000
40000,0.0500,32.9307,1214,126,5214,40000
50000,0.4500,82.3579,1469,153,5469,50000
60000,0.1500,58.6324,1722,179,5722,60000
70000,0.0000,13.9603,1982,205,5982,70000
80000,0.0000,9.5896,2232,230,6232,80000
90000,0.4500,63.3871,2489,257,6489,90000
100000,0.5500,73.1100,2739,282,6739,100000
110000,0.6000,111.2323,2989,307,6989,110000
120000,0.6000,114.5643,3239,332,7239,120000
130000,0.9500,148.4615,3499,358,7499,130000
140000,0.1000,28.5297,3752,384,7752,140000
150000,0.0000,23.5124,4000,409,8000,150000
