env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
10000,0.0000,3.5855,454,47,4454,10000
20000,0.0000,5.1033,714,75,4714,20000
30000,0.0500,45.1854,960,100,4960,30000
40000,0.0500,57.5733,1213,127,5213,40000
50000,0.6500,105.5388,1473,153,5473,50000
60000,0.6000,105.1227,1716,178,5716,60000
70000,0.3500,78.6891,1972,204,5972,70000
80000,0.6500,70.3777,2232,231,6232,80000
90000,0.7000,103.9239,2487,258,6487,90000
100000,0.8500,118.9102,2732,286,6732,100000
110000,0.8000,111.9103,2992,312,6992,110000
120000,0.9000,160.6008,3244,338,7244,120000
130000,0.9000,138.4303,3499,364,7499,130000
140000,0.6000,129.4726,3747,389,7747,140000
150000,1.0000,157.2437,3997,414,7997,150000
