env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
10000,0.0000,2.7834,456,46,4456,10000
20000,0.0000,9.2643,706,71,4706,20000
30000,0.0500,23.0155,962,98,4962,30000
40000,0.5000,61.5101,1220,124,5220,40000
50000,0.0000,18.7984,1470,149,5470,50000
60000,0.0000,28.8741,1720,175,5720,60000
70000,0.4500,72.7494,1974,201,5974,70000
80000,0.6000,103.6586,2229,227,6229,80000
90000,0.1500,43.1865,2486,253,6486,90000
100000,0.0000,8.2659,2733,278,6733,100000
110000,0.0000,5.9403,2995,305,6995,110000
120000,0.2500,57.6350,3246,331,7246,120000
130000,0.3500,42.3816,3503,357,7503,130000
140000,0.0500,21.1729,3755,383,7755,140000
150000,0.3000,32.6036,4000,409,8000,150000
