strategy,success_mean,success_std,human_steps_mean,engagements_mean,n_seeds
none,0.2500,0.2858,0.0,0.0,3
always,0.0000,0.0000,150000.0,15000.0,3
random,0.6333,0.2494,4000.0,410.7,3
voi,0.5667,0.4190,3999.0,411.0,3
