strategy,success_mean,success_std,human_steps_mean,engagements_mean,n_seeds
none,0.7667,0.1841,0.0,0.0,3
always,0.0000,0.0000,150000.0,15000.0,3
random,0.7667,0.1700,4000.0,410.7,3
voi,0.9167,0.0850,3999.0,411.0,3
