env_step,eval_success_rate,eval_return,human_steps,engagements,demo_size,online_size
10000,0.0000,2.4935,454,46,4454,10000
20000,0.0000,0.8363,709,72,4709,20000
30000,0.1000,38.8533,962,98,4962,30000
40000,0.5500,60.0009,1220,124,5220,40000
50000,0.5500,93.8551,1474,150,5474,50000
60000,0.5000,90.5640,1726,176,5726,60000
70000,0.5500,91.9207,1976,203,5976,70000
80000,0.8000,131.6738,2234,230,6234,80000
90000,0.8000,84.6841,2486,256,6486,90000
100000,0.9500,115.0394,2738,283,6738,100000
110000,0.9000,143.5975,2987,310,6987,110000
120000,1.0000,174.3352,3242,336,7242,120000
130000,1.0000,145.4817,3500,362,7500,130000
140000,0.9500,128.1541,3747,387,7747,140000
150000,0.9000,128.2893,4000,414,8000,150000
