strategy,seeds,total_successes,total_episodes,repeated_success,success_ci_low,success_ci_high,seed_success_mean,seed_success_std,mean_best_human_steps,mean_return,delta_success_vs_none_pp,delta_human_steps_vs_none
none_matched_bc,0;1;2,131,180,0.7278,0.6585,0.7875,0.7278,0.0694,0.0,64.4295,0.0,0.0
random_matched_bc,0;1;2,107,180,0.5944,0.5215,0.6635,0.5945,0.1548,478.0,50.2179,-13.3,478.0
voi_stack_tuned,0;1;2,107,180,0.5944,0.5215,0.6635,0.5944,0.1710,433.3,52.5201,-13.3,433.3
