env_step,eval_success_rate,eval_return,eval_successes,eval_episodes,eval_success_ci_low,eval_success_ci_high,human_steps,budget_used_frac,engagements,demo_size,online_size,voi_candidate_rate,voi_score_mean,voi_p_fail_mean,bc_reg_loss_mean
0,0.1000,12.2928,2,20,0.0279,0.3010,0,0.0000,0,4000,0,nan,nan,nan,nan
2000,0.9000,146.5534,18,20,0.6990,0.9721,60,0.1000,3,4060,2000,0.0015,0.0155,0.0015,0.008592
4000,0.5500,77.0768,11,20,0.3421,0.7418,60,0.1000,3,4060,4000,0.0000,0.0000,0.0000,0.004281
6000,0.4500,58.9868,9,20,0.2582,0.6579,378,0.6300,19,4378,6000,0.0080,0.0124,0.0070,0.003157
8000,0.2000,29.1830,4,20,0.0807,0.4160,498,0.8300,25,4498,8000,0.0030,0.0081,0.0033,0.001933
10000,0.2000,29.8013,4,20,0.0807,0.4160,600,1.0000,31,4600,10000,0.0030,0.0080,0.0031,0.001172
