env_step,eval_success_rate,eval_return,eval_successes,eval_episodes,eval_success_ci_low,eval_success_ci_high,human_steps,budget_used_frac,engagements,demo_size,online_size,voi_candidate_rate,voi_score_mean,voi_p_fail_mean,bc_reg_loss_mean
0,0.0500,6.1527,1,20,0.0089,0.2361,0,0.0000,0,4000,0,nan,nan,nan,nan
2000,1.0000,166.2515,20,20,0.8389,1.0000,160,0.2667,8,4160,2000,nan,nan,nan,0.009411
4000,1.0000,168.8097,20,20,0.8389,1.0000,267,0.4450,14,4267,4000,nan,nan,nan,0.005019
6000,0.8000,137.1804,16,20,0.5840,0.9193,387,0.6450,20,4387,6000,nan,nan,nan,0.003174
8000,0.6500,108.4687,13,20,0.4329,0.8188,487,0.8117,25,4487,8000,nan,nan,nan,0.001983
10000,0.7500,120.2009,15,20,0.5313,0.8881,600,1.0000,31,4600,10000,nan,nan,nan,0.001265
