task,backend,strategy,budget,human_noise,human_delay,human_skill,human_dropout,seed,total_steps,n_demos,bc_pretrain_steps,bc_final_mse,bc_actor_reg_coef,final_success_rate,best_success_rate,human_steps,budget_used_frac,engagements,final_eval_successes,final_eval_episodes,final_success_ci_low,final_success_ci_high,wall_time_s
Lift,robosuite,voi,1000,0.0,0,1.0,0.0,0,5000,20,5000,0.000963,50.0,0.6000,0.9000,160,0.1600,16,6,10,0.3127,0.8318,453.2
Lift,robosuite,none,1000,0.0,0,1.0,0.0,0,5000,20,5000,0.001015,50.0,0.2000,0.7000,0,0.0000,0,2,10,0.0567,0.5098,292.1
