env_step,eval_success_rate,eval_return,eval_successes,eval_episodes,eval_success_ci_low,eval_success_ci_high,human_steps,budget_used_frac,engagements,demo_size,online_size,voi_candidate_rate,voi_score_mean,voi_p_fail_mean,bc_reg_loss_mean
0,0.3000,23.6855,3,10,0.1078,0.6032,0,0.0000,0,4000,0,nan,nan,nan,nan
1000,0.6000,81.2845,6,10,0.3127,0.8318,160,0.1600,16,4160,1000,0.0160,0.3097,0.0358,0.014564
2000,0.8000,129.3309,8,10,0.4902,0.9433,160,0.1600,16,4160,2000,0.0000,-0.0500,0.0000,0.008021
3000,0.8000,125.5438,8,10,0.4902,0.9433,160,0.1600,16,4160,3000,0.0000,-0.0451,0.0047,0.005363
4000,0.9000,154.6165,9,10,0.5958,0.9821,160,0.1600,16,4160,4000,0.0000,-0.0452,0.0047,0.003898
5000,0.6000,113.8113,6,10,0.3127,0.8318,160,0.1600,16,4160,5000,0.0000,-0.0459,0.0041,0.002922
