checkpoint,task,backend,repeat,seed,success_rate,return_mean,successes,episodes,success_ci_low,success_ci_high
results\r012_budget600_scale3_seeds0_1\checkpoints\best_Lift_voi_b600_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_restorebest1_pacelinear.zip,Lift,robosuite,0,777,0.7500,121.3583,15,20,0.5313,0.8881
results\r012_budget600_scale3_seeds0_1\checkpoints\best_Lift_voi_b600_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_restorebest1_pacelinear.zip,Lift,robosuite,1,778,0.7000,109.1742,14,20,0.4810,0.8545
results\r012_budget600_scale3_seeds0_1\checkpoints\best_Lift_voi_b600_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_restorebest1_pacelinear.zip,Lift,robosuite,2,779,0.8500,137.7193,17,20,0.6396,0.9476
results\r012_budget600_scale3_seeds0_1\checkpoints\best_Lift_voi_b600_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_restorebest1_pacelinear.zip,Lift,robosuite,3,780,0.5500,97.6934,11,20,0.3421,0.7418
results\r012_budget600_scale3_seeds0_1\checkpoints\best_Lift_voi_b600_seed0_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_restorebest1_pacelinear.zip,Lift,robosuite,4,781,0.9000,134.3508,18,20,0.6990,0.9721
