checkpoint,task,backend,repeat,seed,success_rate,return_mean,successes,episodes,success_ci_low,success_ci_high
results\r014_robustness_seeds3_4_baselines\checkpoints\best_Lift_random_b600_seed3_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacelinear.zip,Lift,robosuite,0,777,0.9500,135.8526,19,20,0.7639,0.9911
results\r014_robustness_seeds3_4_baselines\checkpoints\best_Lift_random_b600_seed3_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacelinear.zip,Lift,robosuite,1,778,1.0000,135.2966,20,20,0.8389,1.0000
results\r014_robustness_seeds3_4_baselines\checkpoints\best_Lift_random_b600_seed3_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacelinear.zip,Lift,robosuite,2,779,1.0000,128.7002,20,20,0.8389,1.0000
results\r014_robustness_seeds3_4_baselines\checkpoints\best_Lift_random_b600_seed3_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacelinear.zip,Lift,robosuite,3,780,1.0000,132.4522,20,20,0.8389,1.0000
results\r014_robustness_seeds3_4_baselines\checkpoints\best_Lift_random_b600_seed3_steps10000_demo20_ls500_bs256_gs1_bc5000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p01_vcq0p0_vrefnone_vlv0p0_vclip1p0_restorebest1_pacelinear.zip,Lift,robosuite,4,781,0.9500,130.8899,19,20,0.7639,0.9911
