env_step,eval_success_rate,eval_return,eval_successes,eval_episodes,eval_success_ci_low,eval_success_ci_high,human_steps,budget_used_frac,engagements,demo_size,online_size,voi_candidate_rate,voi_score_mean,voi_p_fail_mean,bc_reg_loss_mean
0,0.4000,63.5692,8,20,0.2188,0.6134,0,0.0000,0,4000,0,nan,nan,nan,nan
2000,0.7000,105.3712,14,20,0.4810,0.8545,68,0.1133,4,4068,2000,0.0020,0.2128,0.0213,0.008107
4000,0.8500,145.5672,17,20,0.6396,0.9476,68,0.1133,4,4068,4000,0.0000,0.0000,0.0000,0.004152
6000,0.8500,142.1301,17,20,0.6396,0.9476,388,0.6467,20,4388,6000,0.0080,0.0203,0.0130,0.002962
8000,0.7000,125.5393,14,20,0.4810,0.8545,504,0.8400,26,4504,8000,0.0030,0.0159,0.0060,0.001841
10000,0.4500,68.3426,9,20,0.2582,0.6579,600,1.0000,31,4600,10000,0.0025,0.0063,0.0022,0.001230
