task,backend,strategy,budget,human_noise,human_delay,human_skill,human_dropout,seed,total_steps,n_demos,run_label,restore_best_model_at_end,voi_reference_policy,voi_reference_max_points,voi_learning_value_scale,voi_learning_value_clip,bc_pretrain_steps,bc_final_mse,bc_actor_reg_coef,bc_actor_reg_schedule,bc_actor_reg_late_coef,bc_actor_reg_late_start_frac,final_success_rate,final_policy_source,raw_final_success_rate,raw_final_eval_successes,raw_final_success_ci_low,raw_final_success_ci_high,restored_best_success_rate,restored_best_eval_successes,restored_best_success_ci_low,restored_best_success_ci_high,best_success_rate,best_eval_step,best_human_steps,best_budget_used_frac,best_engagements,best_checkpoint_path,human_steps,budget_used_frac,engagements,final_eval_successes,final_eval_episodes,final_success_ci_low,final_success_ci_high,wall_time_s
Stack,robosuite,voi,600,0.0,0,1.0,0.0,1,6000,50,steps6000_demo50_ls500_bs256_gs1_bc10000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p0_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_restorebest1_pacelinear,1,demo_nn,2048,3.0,1.0,10000,0.001935,50.0,constant,,0.5,0.6500,best_checkpoint,0.6500,13,0.4329,0.8188,0.6500,13,0.4329,0.8188,0.6500,6000,600,1.0000,31,results\r018_stack_tuned_method_seeds1_2\checkpoints\best_Stack_voi_b600_seed1_steps6000_demo50_ls500_bs256_gs1_bc10000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p0_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_restorebest1_pacelinear.zip,600,1.0000,31,13,20,0.4329,0.8188,795.0
Stack,robosuite,voi,600,0.0,0,1.0,0.0,2,6000,50,steps6000_demo50_ls500_bs256_gs1_bc10000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p0_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_restorebest1_pacelinear,1,demo_nn,2048,3.0,1.0,10000,0.001167,50.0,constant,,0.5,0.3500,best_checkpoint,0.5500,11,0.3421,0.7418,0.3500,7,0.1812,0.5671,0.6000,2000,100,0.1667,5,results\r018_stack_tuned_method_seeds1_2\checkpoints\best_Stack_voi_b600_seed2_steps6000_demo50_ls500_bs256_gs1_bc10000_reg50p0_regsconstant_lreg50p0_lstart0p5_take20_vtau0p0_vcq0p0_vrefdemo_nn_vlv3p0_vclip1p0_restorebest1_pacelinear.zip,600,1.0000,31,7,20,0.1812,0.5671,705.1
