env_step,eval_success_rate,eval_return,eval_successes,eval_episodes,eval_success_ci_low,eval_success_ci_high,human_steps,budget_used_frac,engagements,demo_size,online_size,voi_candidate_rate,voi_score_mean,voi_p_fail_mean,bc_reg_loss_mean
0,0.4500,76.0600,9,20,0.2582,0.6579,0,0.0000,0,4000,0,nan,nan,nan,nan
2000,0.6500,115.1069,13,20,0.4329,0.8188,80,0.1333,4,4080,2000,0.0020,0.0355,0.0035,0.008247
4000,0.7500,126.9762,15,20,0.5313,0.8881,80,0.1333,4,4080,4000,0.0000,0.0000,0.0000,0.004087
6000,0.9500,153.1485,19,20,0.7639,0.9911,384,0.6400,20,4384,6000,0.0080,0.0170,0.0090,0.002783
8000,0.6000,97.7888,12,20,0.3866,0.7812,504,0.8400,26,4504,8000,0.0030,0.0119,0.0040,0.001726
10000,0.7500,114.3232,15,20,0.5313,0.8881,600,1.0000,31,4600,10000,0.0025,0.0162,0.0054,0.001124
